nr,certificate_number,registration_date,name,administrator,location,county
565,628,2012-05-04,Cabana Gura Zlata - Casa Academiei - Valea Radesu Mare - Cioaca Porumbelului - Platoul Rades - Zlata - Lacul Zanoaga - Saua Judele - Lacul Bucura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
566,629,2012-05-04,Lacul Gura Apei - Culmea Zlata - Varful Zlata - Platoul Rades - Zlata - Lacul Zanoaga - Crucea Traznitului - Culmea Slaveiu - Lacul Bucura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
567,630,2012-05-04,Lacul Berhina - Crucea Traznitului - Culmea Slaveiu - Lacul Bucura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
568,631,2012-05-04,Refugiul Baleia - Culmea Cozma - Baleia - Saua Gorova - Refugiul Stana de Rau - Saua Custurii - Valea Peleaga - Poiana Pelegii,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
569,632,2012-05-04,Pui - Hobita - Valea Rau Barbat - Stana de Rau - Taul Tapului - Portile Inchise,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
570,633,2012-05-04,Lacul Bucura - Lacul Lia - Lacul Ana - Lacul Viorica - Lacul Florica - Taul Agatat - Taul Portii - Lacul Bucurelu - Lacul Bucura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
571,634,2012-05-04,Lacul Bucura - Valea Berbecilor - Piciorul Pelegii - Varful Peleaga - Saua Pelegii - Varful Papusa - Saua Custurii - Varful Custura,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
572,635,2012-05-04,Campul lui Neag - Cantonul Silvic Campusel - Piatra Iorgovanului - Saua Paltina - Lacul Berhina,Consiliul Judetean Hunedoara,Muntii Retezat,Hunedoara
573,636,2012-07-12,Baile Selters - Cheile Vargisului - Pestera Orban Balazs,Consiliul Judetean Harghita,Muntii Persani,Harghita
574,637,2012-07-12,Baile Chirui - Cheile Vargisului - Pestera Orban Balazs,Consiliul Judetean Harghita,Muntii Persani,Harghita
575,638,2012-07-12,Lueta - Cheile Vargisului - Pestera Orban Balazs,Consiliul Judetean Harghita,Muntii Persani,Harghita
576,639,2012-07-12,Meresti - Cheile Vargisului - Pestera Orban Balazs,Consiliul Judetean Harghita,Muntii Persani,Harghita
577,640,2012-07-12,Cabana Harghita Madaras - Cascada Szoko,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
578,641,2012-07-12,Vlahita - Cabana Harghita Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
579,642,2012-07-12,Izvoarele - Cabana Harghita Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
580,643,2012-07-12,Izvoarele - Valea Sugo - Cabana Harghita Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
581,644,2012-07-12,Cabana Harghita Madaras - Coltul Berszan - Varful Harghita Madaras - Cabana Harghita Madaras,Consiliul Judetean Harghita,Muntii Harghitei,Harghita
