nr,certificate_number,registration_date,name,administrator,location,county
560,623,2012-04-03,Baza Salvamont Vlădeasa - Stație Meteo - Vârful Vlădeasa - Pietrele Albe - Dealul Petrieni - Baza Salvamont Vlădeasa,Consiliul Local al Comunei Săcuieu,Masivul Vlădeasa,Cluj
561,624,2012-04-03,Baza Salvamont Răchițele - Vârful Stanciului - Ponorul din Vârful Seaca - Cabana Vlădeasa - Biserica Frăsinenilor - Vârful Cetății - Vârful Lespezi - Baza Salvamont Răchițele,Consiliul Local al Comunei Săcuieu,Masivul Vlădeasa,Cluj
562,625,2012-04-03,Baza Salvamont Vlădeasa - Creasta Vlădeasa - Vârful Plaiului - Dealul Prislopu - Vârful Poiana Mică - Valea Zărnii - Lacul Floroiu - Barajul Drăgan,Consiliul Local al Comunei Săcuieu,Masivul Vlădeasa,Cluj
563,626,2012-04-03,Valea Răchițele - Vârful Cuciulat - Valea Firii - Doda Pilii - Baza Salvamont Doda Pilii,Consiliul Local al Comunei Săcuieu,Masivul Vlădeasa,Cluj
564,627,2012-04-03,Valea Drăganului - Tranișu - Dealul Mincii - Piatra Bănișorului - Vârful Teșiturilor - Dealul Stânișoara - Baza de Salvare Vlădeasa,Consiliul Local al Comunei Săcuieu,Masivul Vlădeasa,Cluj
565,628,2012-05-04,Cabana Gura Zlata - Casa Academiei - Valea Radeșu Mare - Cioaca Porumbelului - Platoul Radeș - Zlata - Lacul Zănoaga - Șaua Judele - Lacul Bucura,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
566,629,2012-05-04,Lacul Gura Apei - Culmea Zlata - Vârful Zlata - Platoul Radeș - Zlata - Lacul Zănoaga - Crucea Trăznitului - Culmea Slăveiu - Lacul Bucura,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
567,630,2012-05-04,Lacul Berhina - Crucea Trăznitului - Culmea Slăveiu - Lacul Bucura,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
568,631,2012-05-04,Refugiul Baleia - Culmea Cozma - Baleia - Șaua Gorova - Refugiul Stâna de Râu - Șaua Custurii - Valea Peleaga - Poiana Pelegii,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
569,632,2012-05-04,Pui - Hobița - Valea Râu Barbat - Stâna de Râu - Tăul Țapului - Porțile Închise,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
570,633,2012-05-04,Lacul Bucura - Lacul Lia - Lacul Ana - Lacul Viorica - Lacul Florica - Tăul Agățat - Tăul Porții - Lacul Bucurelu - Lacul Bucura,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
571,634,2012-05-04,Lacul Bucura - Valea Berbecilor - Piciorul Pelegii - Vârful Peleaga - Șaua Pelegii - Vârful Păpușa - Șaua Custurii - Vârful Custura,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
572,635,2012-05-04,Câmpul lui Neag - Cantonul Silvic Câmpușel - Piatra Iorgovanului - Șaua Paltina - Lacul Berhina,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
573,636,2012-07-12,Băile Selters - Cheile Vârgișului - Peștera Orban Balazs,Consiliul Județean Harghita,Masivul Perșani,Harghita
574,637,2012-07-12,Băile Chirui - Cheile Vârgișului - Peștera Orban Balazs,Consiliul Județean Harghita,Masivul Perșani,Harghita
575,638,2012-07-12,Lueta - Cheile Vârgișului - Peștera Orban Balazs,Consiliul Județean Harghita,Masivul Perșani,Harghita
576,639,2012-07-12,Merești - Cheile Vârgișului - Peștera Orban Balazs,Consiliul Județean Harghita,Masivul Perșani,Harghita
577,640,2012-07-12,Cabana Harghita Mădăraș - Cascada Szoko,Consiliul Județean Harghita,Munții Harghitei,Harghita
578,641,2012-07-12,Vlăhița - Cabana Harghita Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
579,642,2012-07-12,Izvoarele - Cabana Harghita Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
580,643,2012-07-12,Izvoarele - Valea Sugo - Cabana Harghita Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
581,644,2012-07-12,Cabana Harghita Mădăraș - Coltul Berszan - Vârful Harghita Mădăraș - Cabana Harghita Mădăraș,Consiliul Județean Harghita,Munții Harghitei,Harghita
582,645,2012-07-12,Lacu Roșu - Poiana Albă,Consiliul Județean Harghita,Munții Hășmaș,Harghita
583,646,2012-07-12,Lacu Roșu - Bicăjel - Lacu Roșu,Consiliul Județean Harghita,Munții Hășmaș,Harghita
584,647,2012-07-12,Cheile Bicazului - Poiana Cupaș,Consiliul Județean Harghita,Munții Hășmaș,Harghita
585,648,2012-07-12,Cheile Bicazului - Poiana Vincli,Consiliul Județean Harghita,Munții Hășmaș,Harghita
586,649,2012-07-12,Pâraul Oii - Pâraul Bicăjel - Lacu Roșu,Consiliul Județean Harghita,Munții Hășmaș,Harghita
587,650,2012-07-12,Pârâul Cupaș - Poiana Cupaș,Consiliul Județean Harghita,Munții Hășmaș,Harghita
588,651,2012-07-12,Cabana Piatra Singuratică - Poiana Albă,Consiliul Județean Harghita,Munții Hășmaș,Harghita
593,656,2012-07-12,Balan (Fântâna lui Gal) - Șaua Tarcăului,Consiliul Județean Harghita,Munții Hășmaș,Harghita
595,657,2012-07-12,Toplița - Vârful Rețițiș,Consiliul Județean Harghita,Masivul Călimani,Harghita
596,658,2012-07-12,Gălăuțaș - Vârful Bătrâna,Consiliul Județean Harghita,Masivul Călimani,Harghita
597,659,2012-07-12,Toplița - Vârful Bătrâna,Consiliul Județean Harghita,Masivul Călimani,Harghita
600,662,2012-10-03,Baza Pârtie Sorica - Captare de Apă - Cabana Gârbova,Consiliul Județean Prahova,Munții Baiului,Prahova
600,662,2012-10-03,Baza Pârtie Sorica - Captare de Apă - Cabana Gârbova,Consiliul Județean Prahova,Munții Baiului,Brașov
601,663,2012-10-03,Păstrăvărie - Vârful Clăbucetul Azugii - Cabana Susai,Consiliul Județean Prahova,Munții Baiului,Prahova
601,663,2012-10-03,Păstrăvărie - Vârful Clăbucetul Azugii - Cabana Susai,Consiliul Județean Prahova,Munții Baiului,Brașov
602,664,2012-10-03,Gara Azuga - Vârful Grecului - Cabana Diham,Consiliul Județean Prahova,Munții Bucegi,Prahova
602,664,2012-10-03,Gara Azuga - Vârful Grecului - Cabana Diham,Consiliul Județean Prahova,Munții Bucegi,Brașov
603,665,2012-10-03,Poiana Țapului - Valea Babei - Poiana Stanei,Consiliul Județean Prahova,Munții Bucegi,Prahova
604,666,2012-10-03,Bușteni - Culmea Zamora - Culmea Orjogoaia - Plaiul Orjogoaia - Trăisteni,Consiliul Județean Prahova,Munții Baiului,Prahova
607,669,2012-10-03,Cota 2000 - Șaua Vârful Cu Dor,Consiliul Județean Prahova,Munții Bucegi,Prahova
608,670,2012-10-03,Poiana Valea Stânei - Tabla Butii - Cimitirului Eroilor,Consiliul Județean Prahova,Munții Ciucaș,Prahova
609,671,2013-06-27,Vaideeni - Valea Luncavățului - Podul Lui Pasăre - Lacul Balota - Stâna Balota - Vârful Căpățâna,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
610,672,2013-06-27,Vaideeni - Plaiul Frăsinet - Vârful Ursulețu - Ursu Stâna - Vârful Ursu - Muntele Groapa Mălăii - La Ezer - Curmătura Popeștilor - Valea Repedea - Ciunget,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
611,673,2013-06-27,Vaideeni - Valea Plaiului - Fântâna din Plai - Muntele Marginea - Coasta Lacurilor - Sub Vârful Nedeia - Șaua Gropița - Poiana Târnovu Mare - Ciunget,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
612,674,2013-06-27,Izvorul Rece - Valea Recea - Luncile Frumoase - Stâna Zăvideanu - Pietrele Stroieștilor - Coasta Lacurilor - Curmătura Funicelu,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
613,675,2013-06-27,Cerna - Valea Cernei - Sohodol - Pârâul Moliftului - Stâna Bucium - Vârful Beleoaia - Vârful Nedeia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
614,676,2013-06-27,Costești - Bistrița - Valea Bistriței - Vârful Cuca - Plaiul Zănoaga - Curmătura Rodeanu - Stâna Cocora - Plaiul Cocora - Malaia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
615,677,2013-06-27,Marița - Valea Mariței - Vârful Stânișoara - Stâna Zăvideanu - Muntele Zăvideanu,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
616,678,2013-06-27,Lacul Balota - Tribunalul Haiducilor - Culmea Căpățâna - Pârâul Căpățânii - Lacul Balota,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
617,679,2013-06-27,Lacul Balota - Izvoarele Luncavățului - Coasta Lacurilor - Vârful Nedeia,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
