certificate_number,column,correction
57,name,CLEANING_RULE.CONVERT_CHARS
57,name,CLEANING_RULE.FORMAT_PARENTHESIS
57,name,CLEANING_RULE.REMOVE_EXTRA_END_SPACES
57,name,CLEANING_RULE.CORRECT_STICKY_DASHES
57,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
57,administrator,CLEANING_RULE.CONVERT_CHARS
57,county,CLEANING_RULE.CONVERT_CHARS
58,name,CLEANING_RULE.CONVERT_CHARS
58,name,CLEANING_RULE.CORRECT_STICKY_DASHES
58,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
58,administrator,CLEANING_RULE.CONVERT_CHARS
58,county,CLEANING_RULE.CONVERT_CHARS
59,name,CLEANING_RULE.CONVERT_CHARS
59,name,CLEANING_RULE.CORRECT_STICKY_DASHES
59,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
59,administrator,CLEANING_RULE.CONVERT_CHARS
59,county,CLEANING_RULE.CONVERT_CHARS
60,name,CLEANING_RULE.CONVERT_CHARS
60,name,CLEANING_RULE.CORRECT_STICKY_DASHES
60,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
60,administrator,CLEANING_RULE.CONVERT_CHARS
60,county,CLEANING_RULE.CONVERT_CHARS
61,name,CLEANING_RULE.CONVERT_CHARS
61,name,CLEANING_RULE.CORRECT_STICKY_DASHES
61,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
61,administrator,CLEANING_RULE.CONVERT_CHARS
61,county,CLEANING_RULE.CONVERT_CHARS
62,name,CLEANING_RULE.CONVERT_CHARS
62,name,CLEANING_RULE.CORRECT_STICKY_DASHES
62,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
62,administrator,CLEANING_RULE.CONVERT_CHARS
62,county,CLEANING_RULE.CONVERT_CHARS
63,name,CLEANING_RULE.CONVERT_CHARS
63,name,CLEANING_RULE.FORMAT_PARENTHESIS
63,name,CLEANING_RULE.REMOVE_EXTRA_END_SPACES
63,name,CLEANING_RULE.CORRECT_STICKY_DASHES
63,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
63,administrator,CLEANING_RULE.CONVERT_CHARS
63,county,CLEANING_RULE.CONVERT_CHARS
64,name,CLEANING_RULE.CONVERT_CHARS
64,name,CLEANING_RULE.CORRECT_STICKY_DASHES
64,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
64,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
64,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
64,administrator,CLEANING_RULE.CONVERT_CHARS
64,county,CLEANING_RULE.CONVERT_CHARS
65,name,CLEANING_RULE.CONVERT_CHARS
65,name,CLEANING_RULE.CORRECT_STICKY_DASHES
65,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
65,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
65,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
65,administrator,CLEANING_RULE.CONVERT_CHARS
65,county,CLEANING_RULE.CONVERT_CHARS
66,name,CLEANING_RULE.CONVERT_CHARS
66,name,CLEANING_RULE.CORRECT_STICKY_DASHES
66,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
66,name,CLEANING_RULE.EXPAND_ABBREVIATIONS
66,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
66,administrator,CLEANING_RULE.CONVERT_CHARS
66,county,CLEANING_RULE.CONVERT_CHARS
